audio,sampling_rate,transcript
173009.wav,44100,
426734.wav,44100,
241829.wav,44100,
151983.wav,44100,
406632.wav,44100,
62327.wav,44100,
411790.wav,44100,
386735.wav,44100,
390989.wav,44100,
218821.wav,44100,
339369.wav,44100,
347761.wav,44100,
11573.wav,44100,
61288.wav,44100,
245639.wav,44100,
342658.wav,44100,
348308.wav,44100,
7765.wav,44100,
125415.wav,44100,
428377.wav,44100,
20738.wav,44100,
368455.wav,44100,
235759.wav,44100,
81202.wav,44100,
34330.wav,44100,
412157.wav,44100,
408601.wav,44100,
323482.wav,44100,
410888.wav,44100,
347034.wav,44100,
146353.wav,44100,
330941.wav,44100,
76779.wav,44100,
432910.wav,44100,
188864.wav,44100,
187671.wav,44100,
139334.wav,44100,
409614.wav,44100,
210802.wav,44100,
412039.wav,44100,
388042.wav,44100,
403356.wav,44100,
411059.wav,44100,
430816.wav,44100,
330296.wav,44100,
123805.wav,44100,
147597.wav,44100,
384141.wav,44100,
384155.wav,44100,
192337.wav,44100,
344962.wav,44100,
428892.wav,44100,
213055.wav,44100,
68698.wav,44100,
175536.wav,44100,
174509.wav,44100,
377399.wav,44100,
169085.wav,44100,
130794.wav,44100,
361672.wav,44100,
262659.wav,44100,
164435.wav,44100,
175423.wav,44100,
164887.wav,44100,
340356.wav,44100,
340362.wav,44100,
387749.wav,44100,
387753.wav,44100,
388544.wav,44100,
388543.wav,44100,
267221.wav,44100,
245385.wav,44100,
121944.wav,44100,
268674.wav,44100,
161545.wav,44100,
250108.wav,44100,
83742.wav,44100,
232357.wav,44100,
352419.wav,44100,
189556.wav,44100,
188681.wav,44100,
90797.wav,44100,
16746.wav,44100,
397409.wav,44100,
37618.wav,44100,
415236.wav,44100,
167828.wav,44100,
363868.wav,44100,
320520.wav,44100,
394792.wav,44100,
333441.wav,44100,
172605.wav,44100,
241195.wav,44100,
410335.wav,44100,
46268.wav,44100,
177156.wav,44100,
123987.wav,44100,
73260.wav,44100,
151875.wav,44100,
348024.wav,44100,
380153.wav,44100,
12653.wav,44100,
136690.wav,44100,
136691.wav,44100,
68718.wav,44100,
68719.wav,44100,
368470.wav,44100,
27738.wav,44100,
381853.wav,44100,
351503.wav,44100,
390849.wav,44100,
76404.wav,44100,
386537.wav,44100,
57654.wav,44100,
178615.wav,44100,
85570.wav,44100,
45642.wav,44100,
392725.wav,44100,
210033.wav,44100,
381192.wav,44100,
396576.wav,44100,
253612.wav,44100,
392137.wav,44100,
153412.wav,44100,
346237.wav,44100,
386033.wav,44100,
409727.wav,44100,
379017.wav,44100,
135780.wav,44100,
368453.wav,44100,
115759.wav,44100,
69509.wav,44100,
135034.wav,44100,
174916.wav,44100,
432056.wav,44100,
337692.wav,44100,
180328.wav,44100,
78966.wav,44100,
79253.wav,44100,
152980.wav,44100,
152983.wav,44100,
129427.wav,44100,
129429.wav,44100,
209619.wav,44100,
209620.wav,44100,
207481.wav,44100,
380630.wav,44100,
196765.wav,44100,
216911.wav,44100,
101383.wav,44100,
196652.wav,44100,
146271.wav,44100,
126110.wav,44100,
409480.wav,44100,
31313.wav,44100,
155848.wav,44100,
93972.wav,44100,
416423.wav,44100,
433855.wav,44100,
25488.wav,44100,
277608.wav,44100,
369932.wav,44100,
405934.wav,44100,
98994.wav,44100,
37750.wav,44100,
127909.wav,44100,
403555.wav,44100,
260565.wav,44100,
95331.wav,44100,
95332.wav,44100,
202187.wav,44100,
202243.wav,44100,
112565.wav,44100,
112564.wav,44100,
219212.wav,44100,
219164.wav,44100,
334539.wav,44100,
334538.wav,44100,
351318.wav,44100,
351327.wav,44100,
392399.wav,44100,
392396.wav,44100,
392398.wav,44100,
85312.wav,44100,
85323.wav,44100,
85334.wav,44100,
83133.wav,44100,
83114.wav,44100,
83124.wav,44100,
270793.wav,44100,
270807.wav,44100,
270696.wav,44100,
319585.wav,44100,
319588.wav,44100,
381293.wav,44100,
269545.wav,44100,
269550.wav,44100,
269557.wav,44100,
132907.wav,44100,
343417.wav,44100,
372467.wav,44100,
372470.wav,44100,
372476.wav,44100,
372481.wav,44100,
173674.wav,44100,
173693.wav,44100,
173719.wav,44100,
173740.wav,44100,
173754.wav,44100,
173763.wav,44100,
68437.wav,44100,
68439.wav,44100,
68440.wav,44100,
68444.wav,44100,
68445.wav,44100,
68448.wav,44100,
68438.wav,44100,
68446.wav,44100,
181900.wav,44100,
158631.wav,44100,
164217.wav,44100,
407647.wav,44100,
49643.wav,44100,
190581.wav,44100,
263116.wav,44100,
171448.wav,44100,
165281.wav,44100,
274142.wav,44100,
26481.wav,44100,
424865.wav,44100,
351421.wav,44100,
87612.wav,44100,
262905.wav,44100,
128614.wav,44100,
256529.wav,44100,
235507.wav,44100,
138099.wav,44100,
351505.wav,44100,
173062.wav,44100,
209864.wav,44100,
23218.wav,44100,
161578.wav,44100,
133751.wav,44100,
162188.wav,44100,
434660.wav,44100,
51839.wav,44100,
384107.wav,44100,
246275.wav,44100,
148957.wav,44100,
119067.wav,44100,
149193.wav,44100,
397622.wav,44100,
57939.wav,44100,
60609.wav,44100,
148398.wav,44100,
216563.wav,44100,
416064.wav,44100,
253614.wav,44100,
19024.wav,44100,
431478.wav,44100,
370189.wav,44100,
432304.wav,44100,
397313.wav,44100,
157142.wav,44100,
319152.wav,44100,
326986.wav,44100,
328224.wav,44100,
202093.wav,44100,
31462.wav,44100,
85550.wav,44100,
233715.wav,44100,
212698.wav,44100,
184451.wav,44100,
382982.wav,44100,
272480.wav,44100,
147867.wav,44100,
346173.wav,44100,
204185.wav,44100,
214336.wav,44100,
104815.wav,44100,
159462.wav,44100,
273647.wav,44100,
214189.wav,44100,
321139.wav,44100,
88661.wav,44100,
199906.wav,44100,
188224.wav,44100,
321143.wav,44100,
353626.wav,44100,
144115.wav,44100,
148073.wav,44100,
355340.wav,44100,
249874.wav,44100,
186767.wav,44100,
244193.wav,44100,
67041.wav,44100,
245410.wav,44100,
144321.wav,44100,
232176.wav,44100,
68449.wav,44100,
341070.wav,44100,
161309.wav,44100,
127543.wav,44100,
244238.wav,44100,
378285.wav,44100,
378289.wav,44100,
276937.wav,44100,
276938.wav,44100,
197383.wav,44100,
198298.wav,44100,
250691.wav,44100,
250709.wav,44100,
60475.wav,44100,
60477.wav,44100,
387349.wav,44100,
160759.wav,44100,
315646.wav,44100,
315647.wav,44100,
171994.wav,44100,
171996.wav,44100,
171998.wav,44100,
160485.wav,44100,
249809.wav,44100,
214456.wav,44100,
393076.wav,44100,
18615.wav,44100,
267887.wav,44100,
256308.wav,44100,
257055.wav,44100,
213802.wav,44100,
398448.wav,44100,
166258.wav,44100,
175627.wav,44100,
201257.wav,44100,
396593.wav,44100,
339940.wav,44100,
412558.wav,44100,
134907.wav,44100,
130787.wav,44100,
82319.wav,44100,
186374.wav,44100,
86144.wav,44100,
102709.wav,44100,
188038.wav,44100,
368684.wav,44100,
434537.wav,44100,
264312.wav,44100,
265034.wav,44100,
398977.wav,44100,
365037.wav,44100,
16797.wav,44100,
234856.wav,44100,
239569.wav,44100,
236285.wav,44100,
125325.wav,44100,
244926.wav,44100,
564.wav,44100,
379193.wav,44100,
152676.wav,44100,
152677.wav,44100,
422741.wav,44100,
422742.wav,44100,
104957.wav,44100,
104958.wav,44100,
325179.wav,44100,
317832.wav,44100,
182120.wav,44100,
182121.wav,44100,
182119.wav,44100,
157185.wav,44100,
157186.wav,44100,
157187.wav,44100,
381855.wav,44100,
381856.wav,44100,
381862.wav,44100,
58099.wav,44100,
58111.wav,44100,
58117.wav,44100,
58098.wav,44100,
58108.wav,44100,
58110.wav,44100,
82929.wav,44100,
82927.wav,44100,
64366.wav,44100,
54684.wav,44100,
328822.wav,44100,
277258.wav,44100,
9102.wav,44100,
361573.wav,44100,
121008.wav,44100,
331035.wav,44100,
254883.wav,44100,
234739.wav,44100,
121007.wav,44100,
181425.wav,44100,
90063.wav,44100,
369676.wav,44100,
369681.wav,44100,
31901.wav,44100,
58031.wav,44100,
58052.wav,44100,
58028.wav,44100,
58048.wav,44100,
58056.wav,44100,
58029.wav,44100,
58070.wav,44100,
128797.wav,44100,
128801.wav,44100,
128804.wav,44100,
128799.wav,44100,
128794.wav,44100,
128810.wav,44100,
58970.wav,44100,
58969.wav,44100,
38468.wav,44100,
38469.wav,44100,
350221.wav,44100,
253799.wav,44100,
253830.wav,44100,
253851.wav,44100,
253807.wav,44100,
253818.wav,44100,
253853.wav,44100,
253854.wav,44100,
253852.wav,44100,
109596.wav,44100,
109599.wav,44100,
109601.wav,44100,
252784.wav,44100,
242811.wav,44100,
252830.wav,44100,
56970.wav,44100,
56974.wav,44100,
72159.wav,44100,
38594.wav,44100,
61360.wav,44100,
64517.wav,44100,
62527.wav,44100,
48449.wav,44100,
64524.wav,44100,
57800.wav,44100,
61644.wav,44100,
72166.wav,44100,
74657.wav,44100,
381287.wav,44100,
64527.wav,44100,
65159.wav,44100,
186955.wav,44100,
186957.wav,44100,
186958.wav,44100,
186931.wav,44100,
121558.wav,44100,
140244.wav,44100,
160790.wav,44100,
2515.wav,44100,
169014.wav,44100,
179987.wav,44100,
238955.wav,44100,
140710.wav,44100,
2510.wav,44100,
140717.wav,44100,
167242.wav,44100,
372077.wav,44100,
180531.wav,44100,
49711.wav,44100,
140726.wav,44100,
140723.wav,44100,
140716.wav,44100,
88532.wav,44100,
14742.wav,44100,
178263.wav,44100,
178264.wav,44100,
368586.wav,44100,
260410.wav,44100,
260388.wav,44100,
260400.wav,44100,
260404.wav,44100,
260391.wav,44100,
140515.wav,44100,
140517.wav,44100,
140522.wav,44100,
140531.wav,44100,
44971.wav,44100,
44958.wav,44100,
44965.wav,44100,
377340.wav,44100,
377344.wav,44100,
377341.wav,44100,
125017.wav,44100,
146351.wav,44100,
133456.wav,44100,
223648.wav,44100,
193517.wav,44100,
334070.wav,44100,
251815.wav,44100,
104225.wav,44100,
87719.wav,44100,
321454.wav,44100,
46149.wav,44100,
46150.wav,44100,
46173.wav,44100,
46162.wav,44100,
116978.wav,44100,
116977.wav,44100,
75031.wav,44100,
75034.wav,44100,
75041.wav,44100,
317085.wav,44100,
317084.wav,44100,
102789.wav,44100,
102780.wav,44100,
57479.wav,44100,
57504.wav,44100,
57505.wav,44100,
57467.wav,44100,
57469.wav,44100,
57483.wav,44100,
57486.wav,44100,
57507.wav,44100,
68927.wav,44100,
68935.wav,44100,
68947.wav,44100,
68951.wav,44100,
68953.wav,44100,
68954.wav,44100,
128316.wav,44100,
128331.wav,44100,
128317.wav,44100,
214885.wav,44100,
214875.wav,44100,
234178.wav,44100,
234210.wav,44100,
270225.wav,44100,
270226.wav,44100,
69487.wav,44100,
69484.wav,44100,
339184.wav,44100,
127555.wav,44100,
235667.wav,44100,
125616.wav,44100,
378297.wav,44100,
378298.wav,44100,
378299.wav,44100,
369757.wav,44100,
369758.wav,44100,
159619.wav,44100,
367684.wav,44100,
317396.wav,44100,
219102.wav,44100,
67786.wav,44100,
336597.wav,44100,
102422.wav,44100,
119081.wav,44100,
201838.wav,44100,
232828.wav,44100,
101489.wav,44100,
46283.wav,44100,
240784.wav,44100,
261389.wav,44100,
60753.wav,44100,
18340.wav,44100,
158526.wav,44100,
119874.wav,44100,
275955.wav,44100,
347314.wav,44100,
133440.wav,44100,
46280.wav,44100,
89795.wav,44100,
89796.wav,44100,
89797.wav,44100,
89798.wav,44100,
378400.wav,44100,
378402.wav,44100,
207963.wav,44100,
363626.wav,44100,
267937.wav,44100,
270360.wav,44100,
233049.wav,44100,
85067.wav,44100,
185804.wav,44100,
325132.wav,44100,
371330.wav,44100,
377833.wav,44100,
234363.wav,44100,
379893.wav,44100,
147381.wav,44100,
210319.wav,44100,
377842.wav,44100,
138081.wav,44100,
257518.wav,44100,
377841.wav,44100,
154710.wav,44100,
219330.wav,44100,
377832.wav,44100,
46623.wav,44100,
331628.wav,44100,
393581.wav,44100,
414515.wav,44100,
417524.wav,44100,
415333.wav,44100,
208946.wav,44100,
235535.wav,44100,
326043.wav,44100,
62469.wav,44100,
273450.wav,44100,
120341.wav,44100,
94322.wav,44100,
85602.wav,44100,
240356.wav,44100,
371015.wav,44100,
264589.wav,44100,
195017.wav,44100,
167157.wav,44100,
389300.wav,44100,
275252.wav,44100,
363874.wav,44100,
268884.wav,44100,
272492.wav,44100,
232824.wav,44100,
245037.wav,44100,
233382.wav,44100,
38873.wav,44100,
148796.wav,44100,
391920.wav,44100,
154663.wav,44100,
156206.wav,44100,
348752.wav,44100,
412785.wav,44100,
85655.wav,44100,
78991.wav,44100,
148853.wav,44100,
142008.wav,44100,
379175.wav,44100,
420552.wav,44100,
349101.wav,44100,
388504.wav,44100,
388509.wav,44100,
406688.wav,44100,
406678.wav,44100,
403164.wav,44100,
403167.wav,44100,
172357.wav,44100,
172361.wav,44100,
427683.wav,44100,
427684.wav,44100,
422743.wav,44100,
422762.wav,44100,
421147.wav,44100,
421134.wav,44100,
166509.wav,44100,
166510.wav,44100,
272381.wav,44100,
272380.wav,44100,
273402.wav,44100,
271925.wav,44100,
269847.wav,44100,
269864.wav,44100,
152781.wav,44100,
152792.wav,44100,
152795.wav,44100,
138052.wav,44100,
138060.wav,44100,
138071.wav,44100,
321841.wav,44100,
321848.wav,44100,
321847.wav,44100,
166287.wav,44100,
166295.wav,44100,
166297.wav,44100,
151208.wav,44100,
151209.wav,44100,
151222.wav,44100,
217901.wav,44100,
217963.wav,44100,
217984.wav,44100,
340209.wav,44100,
340214.wav,44100,
340225.wav,44100,
32635.wav,44100,
32642.wav,44100,
32643.wav,44100,
32646.wav,44100,
32644.wav,44100,
416967.wav,44100,
232960.wav,44100,
214005.wav,44100,
379293.wav,44100,
428998.wav,44100,
272109.wav,44100,
233245.wav,44100,
380812.wav,44100,
139964.wav,44100,
272159.wav,44100,
178720.wav,44100,
222456.wav,44100,
264703.wav,44100,
232663.wav,44100,
236794.wav,44100,
41578.wav,44100,
79006.wav,44100,
17651.wav,44100,
389454.wav,44100,
257644.wav,44100,
164513.wav,44100,
331450.wav,44100,
398779.wav,44100,
151229.wav,44100,
388580.wav,44100,
321583.wav,44100,
60612.wav,44100,
38872.wav,44100,
187113.wav,44100,
264645.wav,44100,
260979.wav,44100,
431902.wav,44100,
119912.wav,44100,
62591.wav,44100,
421144.wav,44100,
413049.wav,44100,
145242.wav,44100,
422976.wav,44100,
58575.wav,44100,
369579.wav,44100,
223816.wav,44100,
153440.wav,44100,
171131.wav,44100,
217815.wav,44100,
19007.wav,44100,
195033.wav,44100,
40677.wav,44100,
419170.wav,44100,
403162.wav,44100,
185958.wav,44100,
415634.wav,44100,
138242.wav,44100,
95290.wav,44100,
253683.wav,44100,
271892.wav,44100,
43761.wav,44100,
360459.wav,44100,
90787.wav,44100,
237138.wav,44100,
353381.wav,44100,
392792.wav,44100,
219559.wav,44100,
377491.wav,44100,
272499.wav,44100,
31777.wav,44100,
250940.wav,44100,
234017.wav,44100,
335010.wav,44100,
75265.wav,44100,
117317.wav,44100,
388489.wav,44100,
263925.wav,44100,
218983.wav,44100,
432552.wav,44100,
191518.wav,44100,
70111.wav,44100,
362254.wav,44100,
338144.wav,44100,
396077.wav,44100,
272102.wav,44100,
148795.wav,44100,
353380.wav,44100,
364863.wav,44100,
369031.wav,44100,
321842.wav,44100,
412782.wav,44100,
389252.wav,44100,
428767.wav,44100,
376797.wav,44100,
40640.wav,44100,
264736.wav,44100,
269860.wav,44100,
272104.wav,44100,
340454.wav,44100,
272299.wav,44100,
421135.wav,44100,
331447.wav,44100,
264634.wav,44100,
377545.wav,44100,
207260.wav,44100,
39944.wav,44100,
408013.wav,44100,
151172.wav,44100,
73110.wav,44100,
152650.wav,44100,
94340.wav,44100,
210169.wav,44100,
205078.wav,44100,
365011.wav,44100,
209471.wav,44100,
272550.wav,44100,
161244.wav,44100,
148309.wav,44100,
430171.wav,44100,
217476.wav,44100,
369777.wav,44100,
409818.wav,44100,
164521.wav,44100,
161351.wav,44100,
395610.wav,44100,
264621.wav,44100,
392511.wav,44100,
100651.wav,44100,
429796.wav,44100,
85601.wav,44100,
250849.wav,44100,
369641.wav,44100,
340229.wav,44100,
170503.wav,44100,
385802.wav,44100,
401346.wav,44100,
272272.wav,44100,
409801.wav,44100,
414330.wav,44100,
41580.wav,44100,
137729.wav,44100,
347371.wav,44100,
415635.wav,44100,
408597.wav,44100,
94331.wav,44100,
153310.wav,44100,
194479.wav,44100,
345560.wav,44100,
423196.wav,44100,
405115.wav,44100,
253093.wav,44100,
209821.wav,44100,
187611.wav,44100,
342543.wav,44100,
65929.wav,44100,
393871.wav,44100,
379299.wav,44100,
340000.wav,44100,
411540.wav,44100,
75266.wav,44100,
329603.wav,44100,
353615.wav,44100,
415630.wav,44100,
15521.wav,44100,
232382.wav,44100,
273372.wav,44100,
21111.wav,44100,
40696.wav,44100,
244601.wav,44100,
23703.wav,44100,
419177.wav,44100,
272278.wav,44100,
336845.wav,44100,
268872.wav,44100,
40675.wav,44100,
91042.wav,44100,
429801.wav,44100,
39473.wav,44100,
272541.wav,44100,
245676.wav,44100,
405633.wav,44100,
234189.wav,44100,
31027.wav,44100,
277715.wav,44100,
97759.wav,44100,
250122.wav,44100,
94339.wav,44100,
223154.wav,44100,
89560.wav,44100,
208531.wav,44100,
386508.wav,44100,
110620.wav,44100,
170505.wav,44100,
51145.wav,44100,
272557.wav,44100,
323736.wav,44100,
200322.wav,44100,
232692.wav,44100,
138340.wav,44100,
430315.wav,44100,
273366.wav,44100,
388089.wav,44100,
420549.wav,44100,
264630.wav,44100,
82833.wav,44100,
337702.wav,44100,
209828.wav,44100,
153249.wav,44100,
369778.wav,44100,
134866.wav,44100,
271873.wav,44100,
218292.wav,44100,
273396.wav,44100,
369923.wav,44100,
388894.wav,44100,
273131.wav,44100,
152785.wav,44100,
409774.wav,44100,
364890.wav,44100,
360554.wav,44100,
202273.wav,44100,
213956.wav,44100,
380392.wav,44100,
386715.wav,44100,
340010.wav,44100,
210184.wav,44100,
270416.wav,44100,
222454.wav,44100,
420252.wav,44100,
421138.wav,44100,
201774.wav,44100,
428391.wav,44100,
197560.wav,44100,
204431.wav,44100,
349107.wav,44100,
328338.wav,44100,
271872.wav,44100,
411714.wav,44100,
364866.wav,44100,
272106.wav,44100,
414334.wav,44100,
321447.wav,44100,
369837.wav,44100,
273134.wav,44100,
255249.wav,44100,
152971.wav,44100,
271932.wav,44100,
138339.wav,44100,
17916.wav,44100,
428376.wav,44100,
251485.wav,44100,
184076.wav,44100,
244669.wav,44100,
273133.wav,44100,
430007.wav,44100,
190097.wav,44100,
25526.wav,44100,
408152.wav,44100,
382573.wav,44100,
94321.wav,44100,
159495.wav,44100,
421146.wav,44100,
401347.wav,44100,
264657.wav,44100,
217961.wav,44100,
147641.wav,44100,
40686.wav,44100,
272099.wav,44100,
427174.wav,44100,
343696.wav,44100,
155808.wav,44100,
218976.wav,44100,
18063.wav,44100,
416031.wav,44100,
95289.wav,44100,
85651.wav,44100,
273080.wav,44100,
427116.wav,44100,
94637.wav,44100,
195002.wav,44100,
17125.wav,44100,
156197.wav,44100,
419168.wav,44100,
137798.wav,44100,
232536.wav,44100,
273092.wav,44100,
91260.wav,44100,
272561.wav,44100,
17137.wav,44100,
420400.wav,44100,
371311.wav,44100,
365498.wav,44100,
264715.wav,44100,
63730.wav,44100,
217962.wav,44100,
257677.wav,44100,
421131.wav,44100,
146782.wav,44100,
348324.wav,44100,
264646.wav,44100,
197400.wav,44100,
160774.wav,44100,
66931.wav,44100,
264711.wav,44100,
376437.wav,44100,
365594.wav,44100,
398784.wav,44100,
268882.wav,44100,
394764.wav,44100,
354061.wav,44100,
257042.wav,44100,
429344.wav,44100,
60614.wav,44100,
271904.wav,44100,
379295.wav,44100,
277713.wav,44100,
422745.wav,44100,
380389.wav,44100,
22517.wav,44100,
74923.wav,44100,
339791.wav,44100,
273090.wav,44100,
415254.wav,44100,
428382.wav,44100,
425058.wav,44100,
131473.wav,44100,
363861.wav,44100,
89551.wav,44100,
202261.wav,44100,
134877.wav,44100,
267492.wav,44100,
188849.wav,44100,
427229.wav,44100,
386679.wav,44100,
117956.wav,44100,
211444.wav,44100,
152783.wav,44100,
154697.wav,44100,
94323.wav,44100,
148797.wav,44100,
428506.wav,44100,
143255.wav,44100,
182869.wav,44100,
235942.wav,44100,
405638.wav,44100,
273413.wav,44100,
119522.wav,44100,
272292.wav,44100,
264698.wav,44100,
388613.wav,44100,
98493.wav,44100,
390759.wav,44100,
406741.wav,44100,
420396.wav,44100,
428785.wav,44100,
419181.wav,44100,
191520.wav,44100,
99591.wav,44100,
56508.wav,44100,
368022.wav,44100,
181587.wav,44100,
272513.wav,44100,
425683.wav,44100,
346174.wav,44100,
91568.wav,44100,
273397.wav,44100,
272287.wav,44100,
264726.wav,44100,
148790.wav,44100,
273394.wav,44100,
89563.wav,44100,
419163.wav,44100,
101986.wav,44100,
260808.wav,44100,
166305.wav,44100,
422338.wav,44100,
425313.wav,44100,
128096.wav,44100,
