{'loss': 2.1536, 'grad_norm': 2.5743868350982666, 'learning_rate': 6e-06, 'epoch': 0.03451846738004832, 'step': 100}
{'loss': 0.2343, 'grad_norm': 1.378963589668274, 'learning_rate': 4.0423076923076926e-05, 'epoch': 0.6213324128408698, 'step': 1800}
{'loss': 0.2323, 'grad_norm': 1.5553760528564453, 'learning_rate': 3.946153846153846e-05, 'epoch': 0.6558508802209182, 'step': 1900}
{'loss': 0.2264, 'grad_norm': 1.5038799047470093, 'learning_rate': 3.85e-05, 'epoch': 0.6903693476009665, 'step': 2000}
{'loss': 0.2286, 'grad_norm': 1.3994282484054565, 'learning_rate': 3.753846153846154e-05, 'epoch': 0.7248878149810148, 'step': 2100}
{'loss': 0.2279, 'grad_norm': 1.4176756143569946, 'learning_rate': 3.657692307692308e-05, 'epoch': 0.7594062823610632, 'step': 2200}
{'loss': 0.2255, 'grad_norm': 1.3050110340118408, 'learning_rate': 3.5615384615384616e-05, 'epoch': 0.7939247497411115, 'step': 2300}
{'loss': 0.2255, 'grad_norm': 1.4603703022003174, 'learning_rate': 3.4653846153846156e-05, 'epoch': 0.8284432171211599, 'step': 2400}
{'loss': 0.218, 'grad_norm': 1.2169369459152222, 'learning_rate': 3.36923076923077e-05, 'epoch': 0.8629616845012081, 'step': 2500}
{'loss': 0.2174, 'grad_norm': 1.3849509954452515, 'learning_rate': 3.273076923076923e-05, 'epoch': 0.8974801518812565, 'step': 2600}
{'loss': 0.2152, 'grad_norm': 1.5467993021011353, 'learning_rate': 3.176923076923077e-05, 'epoch': 0.9319986192613048, 'step': 2700}
{'loss': 0.2157, 'grad_norm': 1.2722877264022827, 'learning_rate': 3.080769230769231e-05, 'epoch': 0.9665170866413532, 'step': 2800}
{'loss': 0.2051, 'grad_norm': 1.2330670356750488, 'learning_rate': 2.9846153846153846e-05, 'epoch': 1.0010355540214015, 'step': 2900}
{'loss': 0.2031, 'grad_norm': 1.2105422019958496, 'learning_rate': 2.8884615384615387e-05, 'epoch': 1.0355540214014498, 'step': 3000}
{'loss': 0.181, 'grad_norm': 1.4594160318374634, 'learning_rate': 2.7923076923076924e-05, 'epoch': 1.070072488781498, 'step': 3100}
{'loss': 0.1634, 'grad_norm': 1.2272857427597046, 'learning_rate': 2.696153846153846e-05, 'epoch': 1.1045909561615463, 'step': 3200}
{'loss': 0.1532, 'grad_norm': 1.0714088678359985, 'learning_rate': 2.6000000000000002e-05, 'epoch': 1.1391094235415948, 'step': 3300}
{'loss': 0.1391, 'grad_norm': 1.1330043077468872, 'learning_rate': 2.503846153846154e-05, 'epoch': 1.173627890921643, 'step': 3400}
{'loss': 0.1308, 'grad_norm': 1.0115348100662231, 'learning_rate': 2.4076923076923076e-05, 'epoch': 1.2081463583016914, 'step': 3500}
{'loss': 0.1219, 'grad_norm': 0.7866087555885315, 'learning_rate': 2.3115384615384617e-05, 'epoch': 1.2426648256817396, 'step': 3600}
{'loss': 0.1161, 'grad_norm': 0.8968396186828613, 'learning_rate': 2.2153846153846154e-05, 'epoch': 1.2771832930617881, 'step': 3700}
{'loss': 0.1133, 'grad_norm': 0.998329222202301, 'learning_rate': 2.1192307692307695e-05, 'epoch': 1.3117017604418364, 'step': 3800}
{'loss': 0.1115, 'grad_norm': 0.9511522054672241, 'learning_rate': 2.0230769230769232e-05, 'epoch': 1.3462202278218847, 'step': 3900}
{'loss': 0.1119, 'grad_norm': 0.8928653597831726, 'learning_rate': 1.926923076923077e-05, 'epoch': 1.380738695201933, 'step': 4000}
{'loss': 0.106, 'grad_norm': 0.9201973676681519, 'learning_rate': 1.830769230769231e-05, 'epoch': 1.4152571625819814, 'step': 4100}
{'loss': 0.107, 'grad_norm': 0.9495989084243774, 'learning_rate': 1.7346153846153847e-05, 'epoch': 1.4497756299620297, 'step': 4200}
{'loss': 0.1014, 'grad_norm': 0.7613958716392517, 'learning_rate': 1.6384615384615384e-05, 'epoch': 1.484294097342078, 'step': 4300}
{'loss': 0.1068, 'grad_norm': 0.7141531705856323, 'learning_rate': 1.5423076923076925e-05, 'epoch': 1.5188125647221264, 'step': 4400}
{'loss': 0.1003, 'grad_norm': 0.8428189158439636, 'learning_rate': 1.4461538461538462e-05, 'epoch': 1.5533310321021747, 'step': 4500}
{'loss': 0.0993, 'grad_norm': 1.1461315155029297, 'learning_rate': 1.3500000000000001e-05, 'epoch': 1.587849499482223, 'step': 4600}
{'loss': 0.0913, 'grad_norm': 0.9790162444114685, 'learning_rate': 1.2538461538461538e-05, 'epoch': 1.6223679668622712, 'step': 4700}
{'loss': 0.0926, 'grad_norm': 0.67188560962677, 'learning_rate': 1.1576923076923077e-05, 'epoch': 1.6568864342423195, 'step': 4800}
{'loss': 0.0898, 'grad_norm': 0.6974127888679504, 'learning_rate': 1.0615384615384616e-05, 'epoch': 1.691404901622368, 'step': 4900}
{'loss': 0.089, 'grad_norm': 0.6334595680236816, 'learning_rate': 9.653846153846155e-06, 'epoch': 1.7259233690024163, 'step': 5000}
{'loss': 0.0894, 'grad_norm': 0.9779647588729858, 'learning_rate': 8.692307692307692e-06, 'epoch': 1.7604418363824648, 'step': 5100}
{'loss': 0.0888, 'grad_norm': 0.7252787947654724, 'learning_rate': 7.730769230769231e-06, 'epoch': 1.794960303762513, 'step': 5200}
{'loss': 0.0893, 'grad_norm': 0.6900699138641357, 'learning_rate': 6.7692307692307695e-06, 'epoch': 1.8294787711425613, 'step': 5300}
{'loss': 0.0879, 'grad_norm': 0.7137700915336609, 'learning_rate': 5.807692307692308e-06, 'epoch': 1.8639972385226096, 'step': 5400}
{'loss': 0.0883, 'grad_norm': 0.7830414772033691, 'learning_rate': 4.846153846153846e-06, 'epoch': 1.8985157059026578, 'step': 5500}
{'loss': 0.0856, 'grad_norm': 0.861061155796051, 'learning_rate': 3.884615384615385e-06, 'epoch': 1.933034173282706, 'step': 5600}
{'loss': 0.0844, 'grad_norm': 0.5169076323509216, 'learning_rate': 2.923076923076923e-06, 'epoch': 1.9675526406627546, 'step': 5700}
{'loss': 0.0798, 'grad_norm': 0.9659516215324402, 'learning_rate': 1.9615384615384617e-06, 'epoch': 2.002071108042803, 'step': 5800}
{'loss': 0.0806, 'grad_norm': 0.8223538994789124, 'learning_rate': 1.0000000000000002e-06, 'epoch': 2.0365895754228514, 'step': 5900}
{'loss': 0.0715, 'grad_norm': 0.8421110510826111, 'learning_rate': 3.846153846153846e-08, 'epoch': 2.0711080428028996, 'step': 6000}
{'train_runtime': 60181.0709, 'train_samples_per_second': 6.381, 'train_steps_per_second': 0.1, 'total_flos': 8.152721939349504e+20, 'train_loss': 0.20052495781580607, 'epoch': 2.0711080428028996, 'step': 6000}
